Gap Keyword,Intent Category,Product Alignment,Recommended URL (with anchor),Page Exists (Y/N),Anchor Section,Relevance Score,Suggested Match Type,Suggested Ad Group,Rationale,Priority
[ai commerce platform],Consideration,AI/Technology,https://kibocommerce.com/platform/agentic-commerce/,Y,Main page,10,Exact,Agentic Commerce,Dedicated AI commerce page,High
[ai order management],Consideration,AI/Technology,https://kibocommerce.com/platform/order-management/,Y,AI Agents section,9,Exact,OMS,OMS page has dedicated AI agents section,High
[ai search ecommerce],Decision,AI/Technology,https://kibocommerce.com/platform/ai-search/,Y,Main page,10,Exact,NB - General B2B,Dedicated AI vector search page,High
[ecommerce ai search],Decision,AI/Technology,https://kibocommerce.com/platform/ai-search/,Y,Main page,10,Exact,NB - General B2B,AI search product page,High
[dropship management software],Decision,Dropship,https://kibocommerce.com/platform/dropship/,Y,Main page,10,Exact,OMS,Dedicated dropship page exists,Medium
[endless aisle software],Decision,Dropship,https://kibocommerce.com/platform/dropship/,Y,Main page,8,Exact,OMS,Endless aisle concept covered in dropship content,Medium
[subscription commerce platform],Decision,Subscription,https://kibocommerce.com/platform/subscription/,Y,Main page,10,Exact,B2B Other Keywords,Dedicated subscription page,High
[recurring revenue platform],Decision,Subscription,https://kibocommerce.com/platform/subscription/,Y,Main page,9,Exact,B2B Other Keywords,Subscription page emphasizes recurring revenue,Medium
[estimated delivery date software],Decision,Order Promising,https://kibocommerce.com/platform/inventory-promising/,Y,Main page,10,Exact,OMS,EDD is core capability on order promising page,High
[delivery date promise software],Decision,Order Promising,https://kibocommerce.com/platform/inventory-promising/,Y,Main page,9,Exact,OMS,Order promising page covers delivery date promises,Medium
[d2c ecommerce platform],Decision,Commerce,https://kibocommerce.com/platform/commerce/,Y,Main page,8,Exact,B2C EComm,B2C commerce page supports D2C use cases,Medium
[d2c order management],Decision,Order Management,https://kibocommerce.com/platform/order-management/,Y,Main page,8,Exact,OMS,OMS supports both B2B and B2C/D2C models,Medium
