Keyword,Ad Group,Campaign,Match Type,Current URL,Current Intent Level,Recommended URL (with anchor if applicable),Recommended Intent Level,Anchor Section Topic,Relevance Score (1-10),CTA on Page,Rationale,Gap Flag,Priority
[b2b agentic commerce],Agentic Commerce,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/agentic-commerce/,HIGH,Main page,10,Explore; Contact Sales,Dedicated agentic commerce page - exact keyword/topic match,No,High
[subscription commerce],B2B Other Keywords,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/subscription/,HIGH,Main page,10,Learn More; Contact Sales,Dedicated subscription commerce page with full capabilities overview,No,High
[manufacturer ecommerce platform],NB - Manufacturers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/manufacturing/,HIGH,Main page,10,Talk to Expert; Speak with Expert,Dedicated manufacturing PPC page with ecommerce platform focus,No,High
[manufacturing order management system],NB - Manufacturers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/manufacturing/#form,HIGH,Form section,9,Talk to Expert; Speak with Expert,Manufacturing PPC page addresses OMS for manufacturers; anchor to form for quick conversion,No,High
[enterprise order management system],OMS,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,10,Watch Demo; Talk to Sales,Enterprise OMS page with full capabilities - exact keyword match to page title,No,High
[order management system ecommerce],OMS,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,10,Watch Demo; Talk to Sales,OMS platform page specifically addresses ecommerce order management,No,High
[global order management system],OMS,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,9,Watch Demo; Talk to Sales,OMS page covers global capabilities with multi-location/DC content,No,High
[best order management systems],OMS,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,9,Watch Demo; Talk to Sales,OMS page with Forrester recognition addresses comparison/best intent,No,High
[b2b order management system],OMS,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,9,Watch Demo; Talk to Sales,OMS page with B2B tab showing B2B-specific OMS capabilities,No,High
[ecommerce oms],OMS,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,10,Watch Demo; Talk to Sales,Primary OMS page - direct match to search intent,No,High
[order management system pricing],OMS,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/speak-with-an-expert/,HIGH,Contact form,7,Contact Expert,No public pricing page exists; route to sales contact for pricing discussions,Content Gap,Medium
[b2c ecommerce software],B2C EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/commerce/,HIGH,Main page,9,Watch Demo; Contact Sales,B2C commerce platform page with full software capabilities,No,High
[b2c commerce],B2C EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/commerce/,HIGH,Main page,10,Watch Demo; Contact Sales,Dedicated B2C commerce page - exact topic match,No,High
[b2c ecommerce solution],B2C EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/commerce/,HIGH,Main page,9,Watch Demo; Contact Sales,B2C commerce page presents complete solution overview,No,High
[b2c ecommerce platform],B2C EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/commerce/,HIGH,Main page,10,Watch Demo; Contact Sales,Dedicated B2C ecommerce platform page - exact keyword match,No,High
[b2b ecommerce services],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,8,Watch Demo; Talk to Sales,B2B solutions page with comprehensive services overview,No,Medium
[b2b ecommerce platforms],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,9,Watch Demo; Talk to Sales,Primary B2B platform page with full capabilities,No,High
[digital commerce solutions],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/,HIGH,Homepage,9,Watch Demo; Talk to Sales,Homepage positions KIBO as digital commerce solution with unified platform messaging,No,High
[best b2b ecommerce platforms],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,8,Watch Demo; Talk to Sales,B2B page with analyst recognition addresses comparison intent,No,High
[b2b vendor portal],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,7,Watch Demo; Talk to Sales,B2B page covers portal capabilities but lacks explicit vendor portal section,Partial Gap,Medium
[unified commerce platform],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/,HIGH,Homepage hero,9,Watch Demo; Talk to Sales,Homepage prominently features unified commerce in H1,No,High
[b2b dealer portal],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/manufacturing/#b2b-commerce,HIGH,B2B commerce section,8,Talk to Expert; Speak with Expert,Manufacturing page covers dealer portal capabilities specifically,No,High
[b2b buyer portal],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,8,Watch Demo; Talk to Sales,B2B page covers self-service buyer portal capabilities,No,Medium
[b2b commerce software],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,9,Watch Demo; Talk to Sales,Comprehensive B2B software page with modular capabilities,No,High
[b2b trade portal],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/wholesale/#b2b-commerce,HIGH,B2B commerce section,8,Talk to Expert; Speak with Expert,Wholesale page with trade/portal focus; alternative: /solutions/wholesale/,No,Medium
[b2b ecommerce solution],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,9,Watch Demo; Talk to Sales,Primary B2B solution page - exact terminology match,No,High
[b2b order portal],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,8,Watch Demo; Talk to Sales,B2B page covers order portal and self-service ordering,No,Medium
[multi location inventory management],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/inventory-visibility/,HIGH,Main page,10,Learn More; Contact Sales,Dedicated inventory visibility page with multi-location focus,No,High
[b2b commerce platform],NB - General B2B,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,9,Watch Demo; Talk to Sales,Primary B2B commerce platform page,No,High
